metric,genotype,value,Animal
DYRK1A_act_2mo,WTNE,1.36,1
DYRK1A_act_2mo,WTNE,0.77,2
DYRK1A_act_2mo,WTNE,0.87,3
DYRK1A_act_2mo,WTNE,0.87,4
DYRK1A_act_2mo,WTNE,1.13,5
DYRK1A_act_2mo,WTNE,0.86,6
DYRK1A_act_2mo,WTNE,1.85,7
DYRK1A_act_2mo,WTNE,0.29,8
DYRK1A_act_2mo,WTNE,0.87,9
DYRK1A_act_2mo,WTNE,1,10
DYRK1A_act_2mo,WTNE,1.13,11
DYRK1A_act_2mo,TGNE,0.96,12
DYRK1A_act_2mo,TGNE,2.15,13
DYRK1A_act_2mo,TGNE,2.21,14
DYRK1A_act_2mo,TGNE,1.13,15
DYRK1A_act_2mo,TGNE,1.72,16
DYRK1A_act_2mo,TGNE,1.55,17
DYRK1A_act_2mo,TGNE,2.17,18
DYRK1A_act_2mo,TGNE,1.22,19
DYRK1A_act_2mo,TGNE,1.8,20
DYRK1A_act_2mo,WTEE,1.4,21
DYRK1A_act_2mo,WTEE,1.1,22
DYRK1A_act_2mo,WTEE,1.91,23
DYRK1A_act_2mo,WTEE,1.66,24
DYRK1A_act_2mo,WTEE,1.32,25
DYRK1A_act_2mo,WTEE,1.42,26
DYRK1A_act_2mo,WTEE,0.67,27
DYRK1A_act_2mo,WTEE,0.75,28
DYRK1A_act_2mo,WTEE,1.17,29
DYRK1A_act_2mo,WTEE,2.02,30
DYRK1A_act_2mo,TGEE,0.99,31
DYRK1A_act_2mo,TGEE,0.99,32
DYRK1A_act_2mo,TGEE,1,33
DYRK1A_act_2mo,TGEE,0.63,34
DYRK1A_act_2mo,TGEE,1.4,35
DYRK1A_act_2mo,TGEE,1.97,36
DYRK1A_act_2mo,TGEE,0.81,37
DYRK1A_act_2mo,TGEE,1.62,38
DYRK1A_act_2mo,TGEE,0.77,39
DYRK1A_act_2mo,TGEE,1,40
DYRK1A_act_6mo,WTNE,0.793584669,1
DYRK1A_act_6mo,WTNE,1.489271354,2
DYRK1A_act_6mo,WTNE,0.717143977,3
DYRK1A_act_6mo,WTNE,1.54107333,4
DYRK1A_act_6mo,WTNE,0.517999598,5
DYRK1A_act_6mo,WTNE,0.940927072,6
DYRK1A_act_6mo,WTNE,0.73767768,1
DYRK1A_act_6mo,WTNE,1.20808378,2
DYRK1A_act_6mo,WTNE,1.05423854,3
DYRK1A_act_6mo,WTNE,0.341901677,4
DYRK1A_act_6mo,WTNE,0.924563072,5
DYRK1A_act_6mo,WTNE,1.733535251,6
DYRK1A_act_6mo,TGNE,1.338425004,7
DYRK1A_act_6mo,TGNE,2.252043953,8
DYRK1A_act_6mo,TGNE,1.296200502,9
DYRK1A_act_6mo,TGNE,1.355099568,10
DYRK1A_act_6mo,TGNE,1.181100902,11
DYRK1A_act_6mo,TGNE,2.97049709,12
DYRK1A_act_6mo,TGNE,1.038868179,7
DYRK1A_act_6mo,TGNE,2.742774922,8
DYRK1A_act_6mo,TGNE,1.09431442,9
DYRK1A_act_6mo,TGNE,1.195922594,10
DYRK1A_act_6mo,TGNE,2.774895918,11
DYRK1A_act_6mo,TGNE,1.131760035,12
DYRK1A_act_6mo,WTEE,0.794086481,13
DYRK1A_act_6mo,WTEE,0.528339908,14
DYRK1A_act_6mo,WTEE,3.037280732,15
DYRK1A_act_6mo,WTEE,1.350362862,16
DYRK1A_act_6mo,WTEE,2.77197008,17
DYRK1A_act_6mo,WTEE,1.788488308,18
DYRK1A_act_6mo,WTEE,0.656895749,13
DYRK1A_act_6mo,WTEE,0.439152525,14
DYRK1A_act_6mo,WTEE,2.012516768,15
DYRK1A_act_6mo,WTEE,0.574424141,16
DYRK1A_act_6mo,WTEE,0.944802245,17
DYRK1A_act_6mo,WTEE,1.574803959,18
DYRK1A_act_6mo,TGEE,1.716861911,19
DYRK1A_act_6mo,TGEE,0.746397381,20
DYRK1A_act_6mo,TGEE,2.126469774,21
DYRK1A_act_6mo,TGEE,2.183700255,22
DYRK1A_act_6mo,TGEE,1.432021278,23
DYRK1A_act_6mo,TGEE,1.929432077,24
DYRK1A_act_6mo,TGEE,2.004848668,19
DYRK1A_act_6mo,TGEE,0.909800038,20
DYRK1A_act_6mo,TGEE,0.939015451,21
DYRK1A_act_6mo,TGEE,1.531185226,22
DYRK1A_act_6mo,TGEE,2.049762969,24
spine_A_6mo,WTNE,4,1
spine_A_6mo,WTNE,10,1
spine_A_6mo,WTNE,5,1
spine_A_6mo,WTNE,8,1
spine_A_6mo,WTNE,7,1
spine_A_6mo,WTNE,1,2
spine_A_6mo,WTNE,8,2
spine_A_6mo,WTNE,5,2
spine_A_6mo,WTNE,4,2
spine_A_6mo,WTNE,3,2
spine_A_6mo,WTNE,11,6
spine_A_6mo,WTNE,7,6
spine_A_6mo,WTNE,8,6
spine_A_6mo,WTNE,7,6
spine_A_6mo,WTNE,8,6
spine_A_6mo,WTNE,8,7
spine_A_6mo,WTNE,5,7
spine_A_6mo,WTNE,11,7
spine_A_6mo,WTNE,6,7
spine_A_6mo,WTNE,7,7
spine_A_6mo,TGNE,11,4
spine_A_6mo,TGNE,12,4
spine_A_6mo,TGNE,20,4
spine_A_6mo,TGNE,8,4
spine_A_6mo,TGNE,5,5
spine_A_6mo,TGNE,16,5
spine_A_6mo,TGNE,3,5
spine_A_6mo,TGNE,7,5
spine_A_6mo,TGNE,5,8
spine_A_6mo,TGNE,9,8
