"","Animal","genotype","Corte","Zona","bregma","slanted","slanted_jl","str_rad","str_lac","animal"
"1",18538,"WT",1,3,-1.34,1,0,210.323,143.173,18538
"2",18538,"WT",1,2,-1.34,1,0,222.887,125.397,18538
"3",18538,"WT",2,3,-1.58,1,0,224.614,123.037,18538
"4",18538,"WT",1,4,-1.34,1,0,241.733,122.656,18538
"5",18538,"WT",2,2,-1.58,1,0,257.019,120.818,18538
"6",18538,"WT",3,4,-1.7,0,0,246.261,90.967,18538
"7",36960,"WT",1,3,-2.3,0,0,282.436,95.723,36960
"8",36960,"WT",3,1,-2.54,0,0,202.127,100.8,36960
"9",36960,"WT",1,1,-2.3,0,0,224.201,97.95,36960
"10",36960,"WT",2,1,-2.46,0,0,209.536,120.243,36960
"11",36960,"WT",3,3,-2.54,1,0,247.595,103.075,36960
"12",36960,"WT",2,4,-2.46,1,0,203.686,91.871,36960
"13",36962,"WT",1,4,-2.18,0,0,254.773,147.63,36962
"14",36962,"WT",2,2,-2.3,0,0,228.496,81.89,36962
"15",36962,"WT",3,2,-2.46,0,0,242.369,120.435,36962
"16",36962,"WT",2,1,-2.3,0,0,225.558,74.691,36962
"17",36962,"WT",2,4,-2.3,1,0,266.148,126.955,36962
"18",36962,"WT",2,3,-2.3,1,0,258.706,133.351,36962
"19",43695,"WT",3,1,-2.18,1,0,226.977,95.233,43695
"20",43695,"WT",2,3,-2.3,0,0,271.063,110.941,43695
"21",43695,"WT",2,1,-2.3,0,0,228.96,127.246,43695
"22",43695,"WT",3,4,-2.18,0,0,284.356,107.785,43695
"23",43695,"WT",2,2,-2.3,0,0,229.149,118.104,43695
"24",43695,"WT",3,2,-2.18,1,0,230.615,87.752,43695
"25",43695,"WT",2,4,-2.3,0,0,263.366,95.269,43695
"26",43696,"WT",3,1,-2.18,1,0,235.532,86.464,43696
"27",43696,"WT",1,2,-1.94,1,0,218.98,105.793,43696
"28",43696,"WT",2,2,-2.06,1,0,196.374,104.057,43696
"29",43696,"WT",3,4,-2.18,1,0,322.173,88.336,43696
"30",43696,"WT",2,1,-2.06,1,0,195.472,127.527,43696
"31",43696,"WT",1,3,-1.94,0,0,222.333,109.593,43696
"32",43696,"WT",1,4,-1.94,0,0,192.35,126.955,43696
"171",15840,"TG",1,1,-1.94,1,0,152.32,83.012,15840
"181",15840,"TG",1,2,-1.94,1,0,180.117,92.498,15840
"193",15840,"TG",1,3,-1.94,1,0,181.113,81.359,15840
"209",15840,"TG",1,4,-1.94,1,0,141.067,71.277,15840
"211",15840,"TG",2,1,-2.06,0,0,131.463,88.179,15840
"221",15840,"TG",2,2,-2.06,0,0,180.482,98.907,15840
"231",15840,"TG",2,3,-2.06,0,0,197.332,96.229,15840
"241",15840,"TG",2,4,-2.06,0,0,189.319,89.111,15840
"185",43732,"TG",1,1,-1.94,1,0,176.321,100.829,43732
"186",43732,"TG",1,2,-1.94,1,0,189.122,108.82,43732
"187",43732,"TG",1,3,-1.94,1,0,203.584,126.178,43732
"188",43732,"TG",1,4,-1.94,1,0,167.11,93.647,43732
"189",43732,"TG",2,1,-2.06,1,0,205.263,95.989,43732
"190",43732,"TG",2,2,-2.06,1,0,193.166,120.44,43732
"191",43732,"TG",2,3,-2.06,0,0,219.734,131.75,43732
"192",43732,"TG",2,4,-2.06,0,0,202.206,124.216,43732
"197",43744,"TG",1,1,-1.82,1,0,144.583,94.238,43744
"198",43744,"TG",1,2,-1.82,1,0,143.398,103.119,43744
"199",43744,"TG",1,3,-1.82,0,0,176.408,100.829,43744
"200",43744,"TG",1,4,-1.82,0,0,165.117,101.218,43744
"201",43744,"TG",2,1,-2.3,1,0,191.633,92.872,43744
"202",43744,"TG",2,2,-2.3,1,0,176.35,106.891,43744
"203",43744,"TG",2,3,-2.3,1,0,201.07,101.856,43744
"204",43744,"TG",2,4,-2.3,1,0,215.569,103.03,43744
"205",43744,"TG",3,1,-2.46,0,0,183.518,79.133,43744
"206",43744,"TG",3,2,-2.46,0,0,168.03,93.208,43744
"207",43744,"TG",3,3,-2.46,0,0,185.59,95.753,43744
"208",43744,"TG",3,4,-2.46,0,0,212.424,105.096,43744
"213",43745,"TG",2,1,-2.06,1,0,169.327,97.637,43745
"214",43745,"TG",2,2,-2.06,1,0,180.469,100.927,43745
"215",43745,"TG",2,3,-2.06,0,0,186.766,96.828,43745
"216",43745,"TG",2,4,-2.06,0,0,190.557,73.45,43745
"110",37354,"WT-EE",1,4,-1.82,0,0,203.697,106.251,37354
"210",37354,"WT-EE",3,4,-2.06,1,0,209.677,121.653,37354
"33",37354,"WT-EE",1,3,-1.82,0,0,228.94,99.589,37354
"41",37354,"WT-EE",3,3,-2.06,1,0,282.928,111.419,37354
"51",37354,"WT-EE",2,4,-1.94,0,0,230.605,111.383,37354
"65",37357,"WT-EE",1,2,-2.3,1,0,225.14,119.059,37357
"71",37357,"WT-EE",3,4,-2.46,1,0,232.276,87.521,37357
"89",37357,"WT-EE",3,3,-2.46,1,0,249.396,108.138,37357
"91",37357,"WT-EE",2,3,-2.46,1,0,242.103,113.185,37357
"101",37357,"WT-EE",2,1,-2.46,0,0,185.59,76.367,37357
"111",37360,"WT-EE",3,3,-2.54,0,0,179.721,82.984,37360
"121",37360,"WT-EE",2,4,-2.46,1,0,220.159,83.968,37360
"131",37360,"WT-EE",3,4,-2.54,0,0,201.335,63.623,37360
"141",37360,"WT-EE",2,1,-2.46,0,0,218.797,80.839,37360
"1510",37360,"WT-EE",2,2,-2.46,0,0,236.107,94.88,37360
"161",40220,"WT-EE",3,3,-2.54,0,0,255.197,136.576,40220
"172",40220,"WT-EE",3,2,-2.54,0,0,255.282,127.636,40220
"182",40220,"WT-EE",3,4,-2.54,0,0,281.621,126.836,40220
"194",40220,"WT-EE",2,3,-2.46,0,0,268.104,122.887,40220
"2010",40220,"WT-EE",2,2,-2.46,0,0,260.983,144.571,40220
"212",40867,"WT-EE",2,1,-2.46,0,0,207.786,112.637,40867
"222",40867,"WT-EE",1,1,-2.3,1,0,240.331,126.32,40867
"232",40867,"WT-EE",1,2,-2.3,1,0,266.763,137.639,40867
"242",40867,"WT-EE",2,4,-2.46,1,0,235.353,98.08,40867
"251",40867,"WT-EE",3,2,-2.54,1,0,189.057,100.732,40867
"261",40867,"WT-EE",3,1,-2.54,1,0,182.761,86.464,40867
"271",42537,"WT-EE",1,1,-2.3,1,0,184.724,96.301,42537
"281",42537,"WT-EE",1,3,-2.3,1,0,247.593,107.193,42537
"291",42537,"WT-EE",2,4,-2.46,0,0,304.733,95.554,42537
"301",42537,"WT-EE",3,2,-2.54,0,0,231.002,125.397,42537
"311",42537,"WT-EE",1,4,-2.3,1,0,244.427,98.579,42537
"321",42537,"WT-EE",3,3,-2.54,0,0,231.576,118.675,42537
"57",37352,"TG-EE",2,1,-2.3,1,0,165.869,90.636,37352
"58",37352,"TG-EE",2,2,-2.3,1,0,157.217,73.787,37352
"59",37352,"TG-EE",2,3,-2.3,0,0,203.402,74.822,37352
"60",37352,"TG-EE",2,4,-2.3,0,0,183.518,73.599,37352
"61",37352,"TG-EE",3,1,-2.46,0,0,210.601,79.315,37352
"62",37352,"TG-EE",3,2,-2.46,0,0,212.694,106.647,37352
"63",37352,"TG-EE",3,3,-2.46,0,0,265.868,129.109,37352
"64",37352,"TG-EE",3,4,-2.46,0,0,294.127,100.8,37352
"77",37355,"TG-EE",1,1,-2.3,1,0,202.719,90.789,37355
"78",37355,"TG-EE",1,2,-2.3,1,0,184.323,104.39,37355
"79",37355,"TG-EE",1,3,-2.3,0,0,229.552,102.467,37355
"80",37355,"TG-EE",1,4,-2.3,0,0,198.042,93.524,37355
"81",37355,"TG-EE",2,1,-2.46,0,0,205.559,95.699,37355
"82",37355,"TG-EE",2,2,-2.46,0,0,208.749,107.339,37355
"83",37355,"TG-EE",2,3,-2.46,1,0,235.235,105.541,37355
"84",37355,"TG-EE",2,4,-2.46,1,0,195.556,93.524,37355
"85",37355,"TG-EE",3,1,-2.54,0,0,189.095,104.501,37355
"86",37355,"TG-EE",3,2,-2.54,0,0,192.206,106.977,37355
"87",37355,"TG-EE",3,3,-2.54,0,0,186.518,92.904,37355
"88",37355,"TG-EE",3,4,-2.54,0,0,184.523,83.068,37355
"149",42533,"TG-EE",1,1,-2.3,1,0,247.265,123,42533
"150",42533,"TG-EE",1,2,-2.3,1,0,239.048,146.189,42533
