"","Animal","genotype","Corte","Zona","slanted","slanted_jl","str_rad","str_lac","animal"
"1",43697,"WT-NE-NE",1,2,1,0,211.27,108.863,43697
"2",43697,"WT-NE-NE",2,4,1,0,186.63,100.231,43697
"3",43697,"WT-NE-NE",1,4,1,0,200.81,118.28,43697
"4",43746,"WT-NE-NE",2,4,1,0,192.59,113.638,43746
"5",43746,"WT-NE-NE",1,4,1,0,201.87,105.574,43746
"6",43746,"WT-NE-NE",1,2,0,0,241.53,120.315,43746
"7",43747,"WT-NE-NE",3,2,0,0,255.09,130.467,43747
"8",43747,"WT-NE-NE",1,2,0,0,250.96,105.382,43747
"9",43747,"WT-NE-NE",2,1,0,0,281.01,129.413,43747
"10",44791,"WT-NE-NE",2,3,0,0,280.19,136.135,44791
"11",44791,"WT-NE-NE",3,4,1,0,242.39,144.87,44791
"12",44791,"WT-NE-NE",1,4,0,0,217.06,132.258,44791
"13",44792,"WT-NE-NE",2,2,0,0,287.37,114.449,44792
"14",44792,"WT-NE-NE",3,3,0,0,268.02,129.934,44792
"15",44792,"WT-NE-NE",2,1,0,0,279.47,111.838,44792
"16",46010,"WT-NE-NE",3,3,0,0,236.32,107.871,46010
"17",46010,"WT-NE-NE",3,4,1,0,250.74,118.972,46010
"18",46010,"WT-NE-NE",2,3,0,0,285.96,107.983,46010
"19",46827,"WT-NE-NE",2,1,1,0,287,100.116,46827
"20",46827,"WT-NE-NE",1,2,0,0,270,117.475,46827
"21",46827,"WT-NE-NE",3,2,0,0,244,103.069,46827
"22",857,"WT-NE-NE",2,3,1,0,232,92.461,857
"23",857,"WT-NE-NE",2,1,0,0,206,87.05,857
"24",857,"WT-NE-NE",3,2,0,0,271,92.348,857
"25",46826,"TG-NE-NE",3,1,0,0,178,130.361,46826
"26",46826,"TG-NE-NE",1,2,0,0,203,129.037,46826
"27",46826,"TG-NE-NE",2,2,0,0,235,133.515,46826
"28",46826,"TG-NE-NE",3,4,0,0,198,90.693,46826
"29",46826,"TG-NE-NE",2,1,0,0,212,118.402,46826
