name,genotype,animal,slice,neuron_number,Bregma,str_rad,str_lac,ml_pos,position,tot_len,max_plen,bpoints,mpeucl,maxbo,mangleB,mblen,mplen,mbo,wh,wz,chullx,chully,chullz,hull,masym,mparea,dend_vol,span_vol,DV_span,str_lac_overlap,overall_x_span,lin_d,lin_s,nonlin_m,nonlin_meand,nonlin_meank,nl_stc,mature_lin_d,mature_lin_s,mature_nonlin_meand,mature_nonlin_meank,mature_nl_stc,AUC,con_rep,con_rep_onlymorph,Succ_spikes_rad_40Hz,Succ_spikes_both_40Hz,Succ_spikes_rad_100Hz,Succ_spikes_both_100Hz
1_low_10,Wild-Type,1,1,10,360,138.3828476,106.4968687,2,mid_cent,2253.148016,491.4032118,19,0.902841365,13,1.453832887,54.95482966,228.5550688,6.41025641,0.984936567,5.625904082,-7.44E-15,188.6315176,-9.38E-13,2807879.29,0.268002027,0.415518446,29131.52532,505410.9521,390.6295162,376.227153,514.6100006,8624,18068,226,46.28761062,53.07964602,1070,6985,9034,35.80530973,52.98230088,1030,1700,12927.6352041574,12927.6352,41.6675,100,26.667,46.667
1_low_11,Wild-Type,1,1,11,360,130.3816336,86.28196338,2,mid_cent,1393.041327,379.254779,14,0.90749915,8,1.506582181,44.936817,187.4869437,4.689655172,0.537954162,2.299369607,-2E-14,166.1927081,4.67E-14,977810.5691,0.344270016,0.398356096,18450.82818,303147.9679,333.2234996,255.0883676,385.4700012,3769,7342,100,43.37,48.79,459,3022,3667,33.78,48.62,443,1100,8008.66510178584,8008.665102,41.6675,100,26.667,50
1_low_12,Wild-Type,1,1,12,360,118.8466937,94.01090992,2,mid_cent,722.5037438,259.8058361,9,0.904572868,5,1.255089766,34.40494018,113.2004504,2.842105263,0.548999148,2.426297672,-2.35E-14,97.65995042,1.08E-14,290846.7193,0.386507937,0.398532176,12720.73431,185331.9203,207.163267,231.8533033,350.699997,6120,11929,154,47.11038961,51.43506494,735,4912,5971,36.30519481,51.4025974,710,650,4051.31940706171,4051.319407,66.6675,83.3325,33.333,36.667
1_low_16,Wild-Type,1,1,16,360,157.7847851,79.81848563,3,mid_lat,1367.522976,234.2370954,17,0.87143881,13,1.586510559,31.8028599,127.6940211,7.085714286,0.923974854,3.331645741,1.44E-14,101.9295383,5.09E-14,555140.1742,0.257738748,0.400774831,17052.37755,297294.2002,196.4823548,156.7252094,314.5099945,5326,12316,149,44.77181208,54.90604027,711,4415,6158,35.47651007,54.83892617,689,870,7159.07469545716,7159.074695,100,100,50,53.333
1_low_5,Wild-Type,1,1,5,360,143.7016513,75.8514327,1,mid_med,770.3828605,298.7584024,11,0.901505912,9,1.36594353,32.09928169,180.6414297,4.782608696,0.597308678,2.960000102,6.57E-15,159.5252192,1.87E-13,382063.9364,0.278253312,0.398077938,12844.43108,162239.1068,239.3422507,160.2483457,303.949997,4964,9957,117,50.58974359,56.52991453,564,4004,4976,39.05128205,56.36752137,543,530,4431.83234465735,4431.832345,41.6675,100,23.333,50
2_mid_1,Wild-Type,2,2,1,840,78.70640699,48.08781426,1,ant_med,1451.240172,235.8271377,16,0.861826863,10,1.283002895,40.312227,124.7962629,5.333333333,1.274117785,3.259484466,2.1E-14,98.43571976,5.21E-15,718707.0475,0.298207721,0.365291477,17980.32957,219301.395,181.805305,281.3835893,360.0899963,4023,7705,95,48.91578947,53.86315789,454,3216,3853,37.72631579,53.77894737,437,1210,7741.15450935524,7741.154509,100,100,46.667,50
2_mid_2,Wild-Type,2,2,2,840,77.2913828,60.90547926,1,ant_med,1777.744431,277.1936899,19,0.898104362,7,1.187133536,38.64661589,168.4366796,4.102564103,1.008434479,4.962018467,-3.63E-14,145.5146197,2.91E-13,611008.3183,0.350877193,0.365355087,21145.82553,313138.8855,224.0008057,226.1286154,303.4199982,4575,8695,113,48.0619469,51.12389381,545,3626,4349,36.57522124,51.07079646,526,1450,9280.05947270093,9280.059473,83.3325,100,40,63.333
2_mid_8,Wild-Type,2,2,8,840,131.2387011,75.8514327,2,ant_cent,1863.479717,433.053471,18,0.921762846,9,1.410648211,41.41066038,204.3846806,4.486486486,0.593092037,4.146827466,5.28E-14,179.6864871,-4.22E-14,866767.7921,0.328663093,0.377179679,24260.96839,367720.6055,378.7946776,261.5112989,392.75,4043,8420,122,40.87804878,45.50406504,578,3284,4211,31.53658537,45.44715447,559,1480,10630.4135335649,10630.41353,41.6675,100,26.667,50
3_5-exported-000,Wild-Type,3,3,5,360,129.9839313,45.99700762,2,mid_cent,1360.632489,207.4574689,17,0.805507562,13,0.924438897,38.87521397,105.9015948,6.114285714,0.888787643,4.945894424,-3.91E-14,77.23984406,-2.52E-13,260028.6084,0.243109169,0.393685354,17517.71482,142038.0154,169.3385208,229.5900794,382.8000031,3108,6218,86,41.89655172,47.45977011,402,2496,3113,32.57471264,47.35632184,389,1010,6758.59925347706,6758.599253,83.3325,83.3325,36.667,36.667
3_3-exported-000,Wild-Type,3,3,3,360,160.8385987,59.70313829,1,mid_med,1779.057798,282.1029908,23,0.83989339,12,1.380482002,37.06369787,128.033034,6.29787234,0.666324421,1.494384267,1.29E-14,101.1252519,1.08E-12,1054214.346,0.319293778,0.366863553,19441.75814,290613.7275,207.5324184,130.7785223,286.1800079,2633,5873,62,53.42857143,61.95238095,294,2160,2938,41.95238095,61.9047619,284,1090,9102.24373350252,9102.243734,100,100,50,53.333
