name,genotype,animal,slice,neuron_number,Bregma,str_rad,str_lac,ml_pos,position,tot_len,max_plen,bpoints,mpeucl,maxbo,mangleB,mblen,mplen,mbo,wh,wz,chullx,chully,chullz,hull,masym,mparea,dend_vol,span_vol,DV_span,str_lac_overlap,overall_x_span,lin_d,lin_s,nonlin_m,nonlin_meand,nonlin_meank,nl_stc,mature_lin_d,mature_lin_s,mature_nonlin_meand,mature_nonlin_meank,mature_nl_stc,AUC,con_rep,con_rep_onlymorph,Succ_spikes_rad_40Hz,Succ_spikes_both_40Hz,Succ_spikes_rad_100Hz,Succ_spikes_both_100Hz
1a2.DAT.swc_prep,Wild-Type_NE_NE,1,0,0,0,0,0,1,0,1449.946311,239.2064825,23,0.563197969,13,1.354896333,30.20721482,121.4406497,6.382978723,1.031220221,3.323462918,1.09E-14,60.1,-1.34E-14,647661.5665,0.298984383,0.367349465,65.59402579,533405.3976,199.1882296,,,,,,,,,,,,,,1090,4447.313936,4701.778213,50,100,30,43.333
1c1.DAT.swc_prep,Wild-Type_NE_NE,1,0,0,0,0,0,1,0,845.886921,303.31347,7,0.716053021,5,0.734597734,52.86793256,170.226197,2.8,0.351514346,3.595107013,-4.81E-14,131,-1.84E-12,175864.5887,0.378571429,0.406560381,38.26702277,75504.74882,265.2838207,,,,,,,,,,,,,,690,6813.289991,7251.574651,75,75,33.333,33.333
1c2.DAT.swc_prep,Wild-Type_NE_NE,1,0,0,0,0,0,1,0,1276.380429,325.3803489,18,0.660779481,11,1.153336072,33.58895865,158.7532231,5.891891892,0.731264731,7.114264561,-7.91E-14,110,3.95E-13,429144.7138,0.296623119,0.40032617,57.74209024,121629.2674,264.11452,,,,,,,,,,,,,,1060,6573.496129,6961.000524,58.3325,100,33.333,43.333
1d1.DAT.swc_prep,Wild-Type_NE_NE,1,0,0,0,0,0,1,0,1697.981598,233.076176,22,0.579740715,9,1.124665076,36.91264344,127.9746813,4.933333333,1.333112242,4.736806856,7.69E-15,64.1,-2.39E-15,539400.9608,0.370202377,0.391542386,76.81487782,301503.1647,159.1526469,,,,,,,,,,,,,,1330,7840.489187,8356.748461,91.6675,91.6675,40,40
1e1.DAT.swc_prep,Wild-Type_NE_NE,2,0,0,0,0,0,1,0,1058.507232,255.0814709,13,0.651448968,10,1.248800079,37.80382971,131.1611805,5.185185185,0.913742969,4.48762529,8.93E-15,81.9,-2.54E-13,377036.5291,0.283613609,0.381177859,47.88573902,280168.1695,195.6392262,,,,,,,,,,,,,,730,5268.46087,5586.356582,75,83.3325,36.667,36.667
2a1.DAT.swc_prep,Wild-Type_NE_NE,2,0,0,0,0,0,1,0,1828.90012,353.5009219,18,0.732361859,8,0.973526038,48.12895051,209.6191617,4.810810811,0.708408381,10.10155518,1.73E-14,151,3.25E-13,481744.6513,0.313000093,0.419154895,82.73749219,236106.4469,313.6537628,,,,,,,,,,,,,,1550,9504.522059,10060.20855,66.6675,100,36.667,56.667
3a1.DAT.swc_prep,Wild-Type_NE_NE,2,0,0,0,0,0,1,0,1339.943973,284.0793173,15,0.671689058,7,0.807928221,41.87324914,173.2727976,4,0.925037052,6.351740953,-9.23E-14,107,-1.56E-13,460548.6292,0.333427961,0.392419008,60.61763722,341680.1048,239.6147028,,,,,,,,,,,,,,970,6789.811459,7193.469954,100,100,43.333,53.333
3a3.DAT.swc_prep,Wild-Type_NE_NE,3,0,0,0,0,0,1,0,1452.387295,286.6969894,18,0.647806917,10,1.073035166,38.22071829,176.9007822,5.783783784,0.857464773,6.349045387,-4.28E-14,111,-2.80E-13,472204.7523,0.28847227,0.403864314,65.7044533,220034.5662,234.8583241,,,,,,,,,,,,,,1100,7445.25146,7884.142224,100,100,43.333,53.333
3a4.DAT.swc_prep,Wild-Type_NE_NE,3,0,0,0,0,0,1,0,1557.732155,339.3745508,24,0.619647208,14,1.224051178,31.1546431,192.7837198,6.734693878,0.706488681,4.839950528,1.95E-15,122,-3.10E-13,732038.1366,0.284214148,0.398752491,70.47014248,424957.4738,275.6581166,,,,,,,,,,,,,,1080,7961.424722,8431.926798,75,100,33.333,56.667
3a5.DAT.swc_prep,Wild-Type_NE_NE,3,0,0,0,0,0,1,0,1178.915909,275.0026932,15,0.655287035,11,1.059249556,36.84112217,166.75046,5.548387097,0.77374995,5.169305711,-6.33E-14,111,5.90E-13,316214.1647,0.266417749,0.380278127,53.33289927,148777.1527,220.953647,,,,,,,,,,,,,,900,5938.034567,6294.526682,100,100,43.333,53.333
