neuronid,time,slope,genotype
3,-20,102.6287713,WTNE
3,-19,102.8593507,WTNE
3,-18,99.27876426,WTNE
3,-17,106.3313364,WTNE
3,-16,100.3231435,WTNE
3,-15,108.0538268,WTNE
3,-14,94.20634987,WTNE
3,-13,93.12133877,WTNE
3,-12,97.99034475,WTNE
3,-11,100.7299604,WTNE
3,-10,98.38361765,WTNE
3,-9,96.75610101,WTNE
3,-8,102.7643769,WTNE
3,-7,96.53914864,WTNE
3,-6,99.73992306,WTNE
3,-5,100.3637754,WTNE
3,-4,100.4180342,WTNE
3,-3,103.5510058,WTNE
3,-2,100.5672669,WTNE
3,-1,95.38633474,WTNE
3,0,113.3990312,WTNE
3,1,123.4237925,WTNE
3,2,119.8457819,WTNE
3,3,128.6134492,WTNE
3,4,111.6099843,WTNE
3,5,119.7974225,WTNE
3,6,121.9571413,WTNE
3,7,121.1190787,WTNE
3,8,120.8772819,WTNE
3,9,125.7768656,WTNE
3,10,122.4406518,WTNE
3,11,112.9799998,WTNE
3,12,112.3514113,WTNE
3,13,119.9747401,WTNE
3,14,127.0339596,WTNE
3,15,126.3087354,WTNE
3,16,121.8120632,WTNE
3,17,118.2985318,WTNE
3,18,115.0267971,WTNE
3,19,115.2363543,WTNE
3,20,118.4113703,WTNE
3,21,114.2048542,WTNE
3,22,125.9057408,WTNE
3,23,114.6722449,WTNE
3,24,125.0193188,WTNE
3,25,120.4743704,WTNE
3,26,117.2671148,WTNE
3,27,114.1887344,WTNE
3,28,120.3292923,WTNE
3,29,115.2685938,WTNE
3,30,118.0729379,WTNE
3,31,122.1343759,WTNE
3,32,122.3278133,WTNE
3,33,108.1771348,WTNE
3,34,117.5571878,WTNE
3,35,121.1995945,WTNE
3,36,108.6284057,WTNE
3,37,110.7880414,WTNE
3,38,122.05386,WTNE
3,39,NA,WTNE
3,40,NA,WTNE
3,41,NA,WTNE
3,42,NA,WTNE
3,43,NA,WTNE
3,44,NA,WTNE
3,45,NA,WTNE
3,46,NA,WTNE
3,47,NA,WTNE
3,48,NA,WTNE
3,49,NA,WTNE
3,50,NA,WTNE
3,51,NA,WTNE
3,52,NA,WTNE
3,53,NA,WTNE
3,54,NA,WTNE
3,55,NA,WTNE
3,56,NA,WTNE
3,57,NA,WTNE
3,58,NA,WTNE
3,59,NA,WTNE
3,60,NA,WTNE
2,-20,NA,WTNE
2,-19,NA,WTNE
2,-18,NA,WTNE
2,-17,NA,WTNE
2,-16,NA,WTNE
2,-15,NA,WTNE
2,-14,NA,WTNE
2,-13,NA,WTNE
2,-12,NA,WTNE
2,-11,NA,WTNE
2,-10,NA,WTNE
2,-9,NA,WTNE
2,-8,NA,WTNE
2,-7,NA,WTNE
2,-6,NA,WTNE
2,-5,109.4734401,WTNE
2,-4,99.07854384,WTNE
2,-3,98.95492579,WTNE
2,-2,89.03651749,WTNE
2,-1,103.4553423,WTNE
2,0,145.7603551,WTNE
2,1,178.9093972,WTNE
2,2,168.9933553,WTNE
2,3,153.3263289,WTNE
2,4,161.0070233,WTNE
2,5,151.9507232,WTNE
2,6,156.5934992,WTNE
2,7,144.0407769,WTNE
2,8,155.0841474,WTNE
2,9,148.5115667,WTNE
2,10,151.396619,WTNE
2,11,152.6575988,WTNE
2,12,145.225371,WTNE
2,13,140.2004771,WTNE
2,14,147.670945,WTNE
2,15,142.1684272,WTNE
2,16,154.5873088,WTNE
2,17,151.6067507,WTNE
2,18,136.3410571,WTNE
2,19,142.9708087,WTNE
2,20,133.5515107,WTNE
2,21,136.2836968,WTNE
2,22,147.804691,WTNE
2,23,140.1239967,WTNE
2,24,148.5306868,WTNE
2,25,133.9146032,WTNE
2,26,133.494245,WTNE
2,27,140.1049712,WTNE
2,28,131.1824171,WTNE
2,29,139.9712252,WTNE
2,30,126.3102946,WTNE
2,31,128.5648569,WTNE
2,32,136.7422952,WTNE
2,33,129.4628389,WTNE
2,34,145.9704869,WTNE
2,35,143.5249129,WTNE
2,36,133.360499,WTNE
2,37,137.3727851,WTNE
2,38,136.3792026,WTNE
2,39,126.272149,WTNE
2,40,122.1643571,WTNE
2,41,132.1759049,WTNE
2,42,141.1748448,WTNE
2,43,116.5279986,WTNE
2,44,132.7681546,WTNE
2,45,136.6849349,WTNE
2,46,126.921759,WTNE
2,47,133.742617,WTNE
2,48,130.781179,WTNE
2,49,127.1510109,WTNE
2,50,134.1629752,WTNE
2,51,132.6535287,WTNE
2,52,137.8886491,WTNE
2,53,136.704055,WTNE
2,54,128.0107527,WTNE
2,55,142.6842912,WTNE
2,56,134.2011207,WTNE
2,57,134.8316106,WTNE
2,58,130.3799409,WTNE
2,59,137.869529,WTNE
2,60,124.3997047,WTNE
1,-20,NA,WTNE
1,-19,NA,WTNE
1,-18,NA,WTNE
1,-17,NA,WTNE
1,-16,NA,WTNE
1,-15,NA,WTNE
1,-14,NA,WTNE
1,-13,NA,WTNE
1,-12,NA,WTNE
1,-11,NA,WTNE
1,-10,NA,WTNE
1,-9,NA,WTNE
1,-8,NA,WTNE
1,-7,NA,WTNE
1,-6,NA,WTNE
1,-5,107.1822457,WTNE
1,-4,97.09492648,WTNE
1,-3,98.02170878,WTNE
1,-2,99.03759662,WTNE
1,-1,98.66331103,WTNE
1,0,123.0076242,WTNE
1,1,157.2775347,WTNE
1,2,154.0547254,WTNE
1,3,155.3586472,WTNE
1,4,151.6438019,WTNE
1,5,130.9293508,WTNE
1,6,141.1143373,WTNE
1,7,128.5183216,WTNE
1,8,139.9827074,WTNE
1,9,136.341641,WTNE
1,10,133.5124605,WTNE
1,11,140.4501152,WTNE
1,12,134.2505673,WTNE
1,13,135.0623475,WTNE
1,14,122.1712158,WTNE
1,15,136.8583053,WTNE
1,16,133.7830539,WTNE
1,17,133.8814611,WTNE
1,18,144.0665533,WTNE
1,19,136.4400482,WTNE
1,20,141.3849307,WTNE
1,21,143.9188896,WTNE
1,22,132.7989819,WTNE
1,23,142.8610387,WTNE
1,24,140.2040443,WTNE
1,25,136.7352698,WTNE
1,26,143.5007383,WTNE
1,27,148.2979571,WTNE
1,28,144.4355539,WTNE
1,29,153.6119459,WTNE
1,30,145.2228114,WTNE
1,31,149.2082501,WTNE
1,32,129.9206506,WTNE
1,33,141.3604082,WTNE
1,34,130.9785016,WTNE
1,35,130.1666158,WTNE
1,36,133.7585314,WTNE
1,37,140.1548936,WTNE
1,38,137.5471557,WTNE
1,39,140.2533008,WTNE
1,40,139.4414149,WTNE
1,41,143.623668,WTNE
